lat,lon,row,col,elevation,slope,dist_to_drainage,permanent_water,b2,b3,b4,b8,b11,b12,ndvi,ndwi,mndwi,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,is_flooded,time_tag,date
26.85,93.05,0,0,55.0,0.06780679384430047,3354.1019662496847,0,0.061679533675093004,0.06882864302833616,0.05545177553419773,0.30161710141547815,0.11160354325990784,0.09409851590671611,0.6894055260252255,-0.6284007821349691,-0.23706899198316406,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.0581081081081,0,1,55.59150287112615,0.06683219711891486,3162.2776601683795,0,0.05773135113420252,0.10091350504424378,0.06689185466708811,0.31009802777141465,0.10228787071030068,0.10892867101235255,0.6451263546346355,-0.5089503703195466,-0.006763561440454597,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.06621621621622,0,2,56.165989281597575,0.06393651124630562,3041.38126514911,0,0.06845949941429642,0.07574133334196048,0.06979096002228913,0.31445873467837504,0.14130491996012257,0.0997295927574594,0.636741458370031,-0.6117819029846591,-0.30207181839591335,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.07432432432432,0,3,56.706932303347784,0.05920326446115654,2915.4759474226503,0,0.04205244470773811,0.07983144005007606,0.05546901921553863,0.25817024045674897,0.14670401516803874,0.08413761632534342,0.6462875751723469,-0.5276268075844407,-0.2951968182371014,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.08243243243243,0,4,57.19876999053455,0.05276909590484101,2692.5824035672517,0,0.08589253781032041,0.07612374556683564,0.06387732167804301,0.3640718366234109,0.09001156021328216,0.12825509558888773,0.701472216909198,-0.6541365640477319,-0.08359334713292366,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.09054054054054,0,5,57.62735306838484,0.04482006300029924,2549.509756796392,0,0.06619710414365845,0.08683584236135354,0.05638848845573159,0.23881983490308847,0.10385310379323075,0.10972383655489719,0.6179747324676272,-0.4667013550885649,-0.08924089650163736,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.09864864864865,0,6,57.980351982066665,0.0355869729463718,2500.0,0,0.08900209265948437,0.08676867094677768,0.07340084439728059,0.32351158544707054,0.08849467069687804,0.10844159892387673,0.6301407041694315,-0.5770271737626934,-0.00984803067835249,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.10675675675675,0,7,58.24761159553771,0.025341221818954332,2236.06797749979,0,0.05319165991593941,0.09085392251367246,0.0592618820687132,0.2856845762957526,0.1036823668692839,0.07089109978220953,0.656399342844883,-0.5174254496036101,-0.06594367458089243,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.11486486486486,0,8,58.4214433363168,0.014401072653099117,2061.5528128088304,0,0.04982253496977512,0.09243451260124624,0.055680387032346956,0.36595921450557795,0.10581561936789118,0.08413478597250831,0.7358861756648942,-0.5967024111792619,-0.06749604595029192,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.12297297297297,0,9,58.496846381716395,0.003427113870292202,2000.0,0,0.04236702677478484,0.09034151713601503,0.06753771222922074,0.34652844720159154,0.10775961498328493,0.07058303411811159,0.6737828273085562,-0.5864144764737168,-0.08792523731897045,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.13108108108108,0,10,58.47165152340608,0.008808620912573586,2000.0,0,0.08503429934408517,0.11030254491932645,0.07412203177743393,0.3443367399579926,0.08200725110450549,0.07083717488783192,0.6457377927248338,-0.5147688537846726,0.14713384178271552,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.13918918918918,0,11,58.34658357158751,0.019935101950105484,2000.0,0,0.057376735583552385,0.1106109739188329,0.06788258935933347,0.2982827209643041,0.12263914634897902,0.13961839097969667,0.6292241842322847,-0.45897430920688903,-0.05156767876289968,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.1472972972973,0,12,58.125240503523365,0.030572160764013843,2000.0,0,0.06787269815278815,0.07963256186278286,0.08094173703764776,0.3405380619636817,0.08937984602129388,0.10845771273508932,0.6159162644319013,-0.620951164147876,-0.057671969255651434,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.1554054054054,0,13,57.81398995628432,0.0403479840607944,2000.0,0,0.07607010007926876,0.06613410938337518,0.05196372047513442,0.3379129061715987,0.11969783504261686,0.13807499763307385,0.7334348683899835,-0.6726413488063766,-0.2882372941905266,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.16351351351351,0,14,57.421786041421676,0.048970502883302236,2000.0,0,0.07599440196160569,0.09388662890061591,0.06996364439997445,0.3126296013935166,0.12190115706619926,0.11617274801123645,0.6342660155007603,-0.5380914767547725,-0.129824378417107,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.17162162162163,0,15,56.95991175148129,0.05618827350721225,2000.0,0,0.05523640125561345,0.09376057028306871,0.08795834872347162,0.30985016723355213,0.11437384879483642,0.09305707748623172,0.5577853510695505,-0.5353909678938806,-0.09903824989285953,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.17972972972973,0,16,56.441654368853946,0.06179225070411343,2000.0,0,0.0534447822201785,0.08986120966603142,0.06713621089241265,0.32964457206606995,0.14452993771855813,0.06530577625521045,0.6615952845720265,-0.5715852216660109,-0.23323707118989032,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.18783783783783,0,17,55.88192321484822,0.06562054894920168,2000.0,0,0.05590629983468087,0.09194475600907467,0.08352177067144584,0.3953799065572885,0.11234302577777545,0.12498462350082247,0.6511943590823054,-0.6226548984505839,-0.09985061076693684,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.19594594594595,0,18,55.296820735663864,0.0675627039891335,2000.0,0,0.04857347264426992,0.06914721363128873,0.06484899096380943,0.3171568550170846,0.11262365503434889,0.07004237962784286,0.6604815100597788,-0.6420061224126793,-0.23918253680560947,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.20405405405405,0,19,54.70317926433562,0.0675627039890749,2000.0,0,0.06916291136861831,0.07663223119449593,0.0985297575508684,0.33943695676837876,0.09700175992332018,0.08138000057325859,0.5500581124895593,-0.6316369248511622,-0.11731295736735761,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.21216216216216,0,20,54.11807678515228,0.06562054894919923,2000.0,0,0.05247240400297098,0.11898798595612728,0.06762964561172137,0.3065863463147088,0.10576930116129779,0.12825352110738303,0.6385527128800375,-0.4408121027326983,0.05881312718733179,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.22027027027028,0,21,53.55834563114558,0.061792250704167134,2061.5528128088304,0,0.06478755781875832,0.09477664107970804,0.053641785557618185,0.2796733422143186,0.10937486961667567,0.10471859162246991,0.6781315038248337,-0.49378197357596926,-0.07150680069175774,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.22837837837838,0,22,53.04008824851827,0.056188273507163426,2236.06797749979,0,0.0916969716018775,0.08755267302575927,0.07885671635211969,0.3401273493615923,0.10476486957452182,0.10677384327322645,0.623581162224628,-0.5905691265844597,-0.089498791249937,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.23648648648648,0,23,52.5782139585787,0.04897050288325952,2500.0,0,0.07403621170968626,0.10998189566023014,0.08115081892604627,0.27770162901513756,0.10442853909587374,0.10587044599719267,0.5477202578517183,-0.4326201125862612,0.025900576996710792,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.24459459459459,0,24,52.186010043715996,0.04034798406082938,2500.0,0,0.06079296208592544,0.09522768730639519,0.0601947763038377,0.3558955305186084,0.09599392052572421,0.08026307415913131,0.7106646761528247,-0.5778194850777577,-0.004007040978850177,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.2527027027027,0,25,51.8747594964764,0.030572160764022787,2549.509756796392,0,0.0606357627348923,0.10303541518003358,0.07414187473556666,0.3128120391276043,0.12769456131811086,0.08295602670712843,0.6167920627292749,-0.5044555914169958,-0.10687443315728971,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.26081081081081,0,26,51.65341642841265,0.019935101950088463,2692.5824035672517,0,0.05792956904484081,0.10596823251350973,0.08148948746279713,0.2890735254275967,0.10908832872654244,0.08104006778687976,0.5601853793423829,-0.46350858582025156,-0.014508251895299201,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.26891891891891,0,27,51.52834847659398,0.008808620912581146,2915.4759474226503,0,0.06386817122385022,0.0825301741296044,0.048223124434965306,0.3388725882427558,0.12119901266357165,0.07158263009532663,0.7508463132092117,-0.6083072446874886,-0.18980500615615212,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.27702702702703,0,28,51.503153618283626,0.003427113870284,3162.2776601683795,0,0.07654355719847075,0.08520467343605932,0.04813134881407569,0.3067235747224345,0.1290938052106818,0.09456947455279247,0.728726405874744,-0.5652025486985036,-0.20480365316361335,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.28513513513514,0,29,51.578556663683095,0.014401072653086705,3354.1019662496847,0,0.05111637043245215,0.08850406982013295,0.06315027254845546,0.3012491465658364,0.1348727881628662,0.12053832201186811,0.6534006263128536,-0.545845456091062,-0.20758057931052262,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.29324324324324,0,30,51.75238840446209,0.025341221818976255,3535.533905932738,0,0.06476498592605014,0.09643089393945542,0.07813209069064306,0.2889818091152814,0.12899487176919955,0.08845568381825199,0.5743439872522008,-0.49959657190858714,-0.14445537439714431,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.30135135135136,0,31,52.01964801793361,0.0355869729464031,3640.0549446402592,0,0.07803094695167317,0.07157226507981039,0.08311330739270485,0.3125873900654999,0.04526209284311762,0.10307997952580462,0.5799181708675553,-0.6273825453020824,0.22519188862971193,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.30945945945946,0,32,52.372646931615506,0.044820063000260195,3807.886552931954,0,0.045790949353741436,0.10006050634781158,0.08454296270144973,0.30362202113348424,0.07054432654856602,0.10101186407969548,0.56439661256394,-0.504261270928991,0.17300894703421715,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.31756756756756,0,33,52.801230009465044,0.05276909590484711,4031.1288741492745,0,0.054768851439385924,0.08376737466467273,0.06977189253383122,0.3050315516825463,0.11299823883893473,0.09255155640768574,0.6276879255253188,-0.5690965306591906,-0.14855669544138386,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
26.85,93.32567567567568,0,34,53.29306769665267,0.0592032644612078,4272.001872658765,0,0.07222364368126888,0.09260614083846008,0.05974630580820928,0.31914818547976914,0.11417596949669394,0.1060560521040352,0.6846280882230956,-0.5501872722218738,-0.10431181978020898,28.5,62.7,94.2,150.72,0,T-5,2020-07-09
